Benchmark,Root Struct,Mode,Result,Time Seconds,Message
decryptMultiple_test,DecryptBits_1,wp,error,0.261256,"libc++abi: terminating due to uncaught exception of type cvc5::CVC5ApiException: expecting an arithmetic subterm
 #0 0x0000000104e1ac34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000104e18744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000104e1b81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 ("
decrypt_test,Decrypt_1,verify,timeout,120.010812,timeout
decrypt_test,Decrypt_1,wp,error,0.217080,"libc++abi: terminating due to uncaught exception of type cvc5::CVC5ApiException: expecting an arithmetic subterm
 #0 0x0000000100f16c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000100f14744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000100f1781c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 ("
edwards2montgomery,Edwards2Montgomery_0,verify,verified,2.124065,
edwards2montgomery,Edwards2Montgomery_0,wp,partial,0.095596,unknown
encryptMultiple_test,EncryptBits_2,verify,timeout,120.047788,timeout
encryptMultiple_test,EncryptBits_2,wp,error,0.235002,"LLVM ERROR: unknown subcomponent type
 #0 0x00000001007aec34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x00000001007ac744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x00000001007af81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
encrypt_test,Encrypt_2,verify,error,3.597556,"LLVM ERROR: could not create SourceRef child for member reference
 #0 0x0000000100dfac34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000100df8744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000100dfb81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804"
encrypt_test,Encrypt_2,wp,error,0.271977,"libc++abi: terminating due to uncaught exception of type cvc5::CVC5ApiException: array select operating on non-array
 #0 0x0000000100c1ac34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000100c18744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000100c1b81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b7"
greatereqthan,GreaterEqThan_2,verify,error,0.495579,"LLVM ERROR: could not create SourceRef child for member reference
 #0 0x0000000102b7ac34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000102b78744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000102b7b81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804"
greatereqthan,GreaterEqThan_2,wp,error,0.210340,"LLVM ERROR: unknown subcomponent type
 #0 0x0000000102fe2c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000102fe0744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000102fe381c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
greaterthan,GreaterThan_2,verify,error,0.436339,"LLVM ERROR: could not create SourceRef child for member reference
 #0 0x000000010523ac34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000105238744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x000000010523b81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804"
greaterthan,GreaterThan_2,wp,error,0.212172,"LLVM ERROR: unknown subcomponent type
 #0 0x000000010147ec34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x000000010147c744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x000000010147f81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
inTest,IN_5,verify,error,2.153113,"LLVM ERROR: could not create SourceRef child for member reference
 #0 0x0000000105032c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000105030744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x000000010503381c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804"
inTest,IN_5,wp,error,0.235524,"LLVM ERROR: unknown subcomponent type
 #0 0x0000000100e3ac34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000100e38744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000100e3b81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
iota10_test,Iota_3,verify,timeout,120.009832,timeout
iota10_test,Iota_3,wp,error,0.209880,"LLVM ERROR: unknown subcomponent type
 #0 0x00000001053dac34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x00000001053d8744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x00000001053db81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
iota3_test,Iota_3,verify,timeout,120.021609,timeout
iota3_test,Iota_3,wp,error,0.249977,"libc++abi: terminating due to uncaught exception of type cvc5::CVC5ApiException: invalid size of argument 'sorts', expected at least one parameter sort for function sort
 #0 0x0000000103076c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000103074744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x000000010307781c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/bu"
isequal,IsEqual_1,verify,error,0.222516,"LLVM ERROR: could not create SourceRef child for member reference
 #0 0x00000001009bac34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x00000001009b8744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x00000001009bb81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804"
isequal,IsEqual_1,wp,error,0.208195,"LLVM ERROR: arbitrary function calls not supported yet
 #0 0x000000010057ec34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x000000010057c744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x000000010057f81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 "
iszero,IsZero_0,verify,verified,0.140075,
iszero,IsZero_0,wp,counterexample,0.063834,sat
keccakfRound0_test,KeccakfRound_88,verify,timeout,120.091648,timeout
keccakfRound0_test,KeccakfRound_88,wp,error,1.054607,"LLVM ERROR: unknown subcomponent type
 #0 0x00000001052eec34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x00000001052ec744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x00000001052ef81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
keccakfRound20_test,KeccakfRound_88,verify,timeout,120.311664,timeout
keccakfRound20_test,KeccakfRound_88,wp,error,1.209310,"LLVM ERROR: unknown subcomponent type
 #0 0x0000000100742c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000100740744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x000000010074381c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
lesseqthan,LessEqThan_2,verify,error,0.554543,"LLVM ERROR: could not create SourceRef child for member reference
 #0 0x00000001054b6c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x00000001054b4744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x00000001054b781c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804"
lesseqthan,LessEqThan_2,wp,error,0.197648,"LLVM ERROR: unknown subcomponent type
 #0 0x0000000104a9ac34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000104a98744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000104a9b81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
lessthan,LessThan_1,verify,error,0.450487,"LLVM ERROR: could not create SourceRef child for member reference
 #0 0x0000000102e0ac34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000102e08744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000102e0b81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804"
lessthan,LessThan_1,wp,error,0.182936,"LLVM ERROR: arbitrary function calls not supported yet
 #0 0x000000010458ac34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000104588744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x000000010458b81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 "
main,fulladder_0,verify,error,0.210418,"error: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-demo/main.llzk"":17:14):failed to legalize operation 'felt.uintdiv' that was explicitly marked illegal
note: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-demo/main.llzk"":17:14):see current operation: %38 = ""felt.uintdiv""(%37, %25) {product_source = ""compute""} : (!felt.type<""bn128"">, !felt.type<""bn128"">) -> !felt.type<""bn128"">
LLVM ERROR: failed to generate SMT encoding
 #0 0x00000001027c6c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&,"
main,fulladder_0,wp,error,0.213411,"LLVM ERROR: unknown op: felt.uintdiv
 #0 0x0000000100beac34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000100be8744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000100beb81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d8"
matAdd_test,matAdd_0,verify,verified,0.319201,
matAdd_test,matAdd_0,wp,error,0.225027,"LLVM ERROR: multidimensional arrays are not supported
 #0 0x0000000102eb6c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000102eb4744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000102eb781c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0"
matElemMul_test,matElemMul_0,verify,verified,6.323539,
matElemMul_test,matElemMul_0,wp,error,0.223966,"LLVM ERROR: multidimensional arrays are not supported
 #0 0x000000010076ec34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x000000010076c744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x000000010076f81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0"
matElemPow_test,matElemPow_1,verify,error,4.876392,"warning: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-demo/matElemPow_test.llzk"":116:13):unhandled operation, analysis may be incomplete
note: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-demo/matElemPow_test.llzk"":116:13):see current operation: pod.write %0[@count] = %c1 : <[@count: index, @comp: !struct.type<@power_0::@power_0>, @params: !pod.type<[]>]>, index {product_source = ""compute""}
warning: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-demo/matElemPow_test.llzk"":116:13):unhan"
matElemPow_test,matElemPow_1,wp,error,0.193655,"LLVM ERROR: multidimensional arrays are not supported
 #0 0x000000010551ac34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000105518744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x000000010551b81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0"
matMul_test,matMul_2,verify,error,2.211709,"warning: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-demo/matMul_test.llzk"":15:11):unhandled operation, analysis may be incomplete
note: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-demo/matMul_test.llzk"":15:11):see current operation: scf.condition(%3)
Assertion failed: (resultNumber < getNumResults() && ""Result number is out of range for operation""), function getOpResultImpl, file /nix/store/eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee-mlir-debug-20.1.8-dev/include/mlir/IR/Operation.h, line 1012.
"
matMul_test,matMul_2,wp,error,0.209432,"LLVM ERROR: multidimensional arrays are not supported
 #0 0x0000000104f56c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000104f54744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000104f5781c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0"
matPow_test,matPow_3,verify,error,6.578400,"warning: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-demo/matPow_test.llzk"":15:11):unhandled operation, analysis may be incomplete
note: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-demo/matPow_test.llzk"":15:11):see current operation: scf.condition(%3)
Assertion failed: (resultNumber < getNumResults() && ""Result number is out of range for operation""), function getOpResultImpl, file /nix/store/eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee-mlir-debug-20.1.8-dev/include/mlir/IR/Operation.h, line 1012.
"
matPow_test,matPow_3,wp,error,0.204035,"LLVM ERROR: unknown subcomponent type
 #0 0x000000010095ec34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x000000010095c744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x000000010095f81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
matScalarAdd_test,matScalarAdd_0,verify,verified,0.292498,
matScalarAdd_test,matScalarAdd_0,wp,error,0.215945,"LLVM ERROR: multidimensional arrays are not supported
 #0 0x00000001050aec34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x00000001050ac744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x00000001050af81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0"
matScalarMul_test,matScalarMul_0,verify,verified,6.269535,
matScalarMul_test,matScalarMul_0,wp,error,0.226649,"LLVM ERROR: multidimensional arrays are not supported
 #0 0x0000000104bbec34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000104bbc744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000104bbf81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0"
matScalarSub_test,matScalarSub_0,verify,verified,0.330483,
matScalarSub_test,matScalarSub_0,wp,error,0.178936,"LLVM ERROR: multidimensional arrays are not supported
 #0 0x0000000100ea2c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000100ea0744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000100ea381c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0"
matSub_test,matSub_0,verify,verified,0.321006,
matSub_test,matSub_0,wp,error,0.211788,"LLVM ERROR: multidimensional arrays are not supported
 #0 0x0000000100c46c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000100c44744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000100c4781c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0"
mimc_sponge_hash_test,MiMCSponge_1,verify,timeout,120.051711,timeout
mimc_sponge_hash_test,MiMCSponge_1,wp,error,0.643519,"(set-logic ALL)
; Subcomponents
(declare-sort MiMCFeistel_0 0)
(declare-fun init-MiMCFeistel_0 (Int Int Int) MiMCFeistel_0)
(declare-fun read-MiMCFeistel_0-t4 (MiMCFeistel_0) (Array Int Int))
(declare-fun read-MiMCFeistel_0-t2 (MiMCFeistel_0) (Array Int Int))
(declare-fun read-MiMCFeistel_0-xRout (MiMCFeistel_0) Int)
(declare-fun read-MiMCFeistel_0-xR (MiMCFeistel_0) (Array Int Int))
(declare-fun read-MiMCFeistel_0-xL (MiMCFeistel_0) (Array Int Int))
(declare-fun read-MiMCFeistel_0-xLout (MiMCFe"
mimc_sponge_test,MiMCFeistel_0,verify,timeout,120.101721,timeout
mimc_sponge_test,MiMCFeistel_0,wp,error,0.438822,"(=> true (forall ((x Int)) (=> (and (<= 0 x) (< x (+ var_760 1)) (= (mod (- x 0) 1) 0)) (= (mod (select t2_w x) 21888242871839275222246405745257275088548364400416034343698204186575808495617) (mod (select t2_c x) 21888242871839275222246405745257275088548364400416034343698204186575808495617)))))
LLVM ERROR: unknown op: bool.or
 #0 0x000000010147ac34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000101478744 llvm::sys::"
mimc_test,MiMC7_0,verify,timeout,120.029812,timeout
mimc_test,MiMC7_0,wp,timeout,120.008139,timeout
mnist_convnet_test,mnist_convnet_21,verify,timeout,120.070886,timeout
mnist_convnet_test,mnist_convnet_21,wp,error,0.257246,"LLVM ERROR: unknown subcomponent type
 #0 0x00000001052cec34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x00000001052cc744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x00000001052cf81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
mnist_latest_precision_test,mnist_latest_precision_29,verify,timeout,120.132699,timeout
mnist_latest_precision_test,mnist_latest_precision_29,wp,error,0.375080,"LLVM ERROR: unknown subcomponent type
 #0 0x0000000104746c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000104744744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x000000010474781c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
mnist_latest_test,mnist_latest_25,verify,timeout,120.139944,timeout
mnist_latest_test,mnist_latest_25,wp,error,0.366260,"LLVM ERROR: unknown subcomponent type
 #0 0x000000010286ac34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000102868744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x000000010286b81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
mnist_test,mnist_20,verify,timeout,120.019050,timeout
mnist_test,mnist_20,wp,error,0.238572,"LLVM ERROR: unknown subcomponent type
 #0 0x0000000102dcac34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000102dc8744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000102dcb81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
model1_test,model1_14,verify,timeout,120.064576,timeout
