Benchmark,Root Struct,Mode,Result,Time Seconds,Message
MaxPooling2D_test,MaxPooling2D_5,wp,error,0.426802,"LLVM ERROR: unknown subcomponent type
 #0 0x0000000102b0da74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x0000000102b0b584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x0000000102b0e65c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018e11d8d"
Max_test,Max_4,verify,error,16.628246,"LLVM ERROR: could not create SourceRef child for member reference
 #0 0x0000000102605a74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x0000000102603584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x000000010260665c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 (/usr/lib/system/libsystem_platform.dylib+0x1804"
Max_test,Max_4,wp,error,0.454718,"LLVM ERROR: unknown subcomponent type
 #0 0x0000000102a01a74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x00000001029ff584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x0000000102a0265c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018e11d8d"
Num2Bits,Num2Bits_0,verify,error,1.389218,"error: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-examples/Num2Bits.llzk"":16:16):failed to legalize operation 'felt.shr' that was explicitly marked illegal
note: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-examples/Num2Bits.llzk"":16:16):see current operation: %107 = ""felt.shr""(<<UNKNOWN SSA VALUE>>, %97) {product_source = ""compute""} : (!felt.type<""babybear"">, !felt.type<""babybear"">) -> !felt.type<""babybear"">
LLVM ERROR: failed to generate SMT encoding
 #0 0x00000001011d5a74 llvm::sys:"
Num2Bits,Num2Bits_0,wp,error,0.352535,"(=> true (forall ((x0 Int)) (=> (or (and (<= 0 x0) (< x0 var_315) (= (mod (- x0 0) 1) 0)) (= x0 var_315)) (= (mod (select out_w x0) 2013265921) (mod (select out_c x0) 2013265921)))))
LLVM ERROR: unknown op: felt.bit_and
 #0 0x0000000100ca1a74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x0000000100c9f584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x0000000100ca265c "
ReLU_test,relu_test_6,verify,error,48.854898,"Assertion failed: ((((slen-1)*64)/22 <= numbits || radix != 10) && ""Insufficient bit width""), function fromString, file /nix/var/nix/builds/nix-24581-489863541/llvm-src-20.1.8/llvm/lib/Support/APInt.cpp, line 2106.
 #0 0x0000000104ffda74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x0000000104ffb584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x0000000104ffe65c Signa"
ReLU_test,relu_test_6,wp,error,0.676218,"LLVM ERROR: unknown subcomponent type
 #0 0x0000000102fe9a74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x0000000102fe7584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x0000000102fea65c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018e11d8d"
SumPooling2D_stride_test,SumPooling2D_1,verify,timeout,120.111193,timeout
SumPooling2D_stride_test,SumPooling2D_1,wp,error,0.528141,"LLVM ERROR: arbitrary function calls not supported yet
 #0 0x0000000104ce5a74 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x100591a74)
 #1 0x0000000104ce3584 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10058f584)
 #2 0x0000000104ce665c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10059265c)
 #3 0x000000018e127744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 "
SumPooling2D_test,SumPooling2D_1,verify,error,22.029968,"warning: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-examples/SumPooling2D_test.llzk"":162:15):unhandled operation, analysis may be incomplete
note: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-examples/SumPooling2D_test.llzk"":162:15):see current operation: pod.write %0[@count] = %c4 : <[@count: index, @comp: !struct.type<@matElemSum_0::@matElemSum_0>, @params: !pod.type<[]>]>, index {product_source = ""compute""}
warning: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-examples/SumPoolin"
